"EnsemblID","t47d_dmso_r1.bam","t47d_dmso_r2.bam","t47d_estradiol_r1.bam","t47d_estradiol_r2.bam","t47d_bisphenol_r1.bam","t47d_bisphenol_r2.bam","t47d_gen_r1.bam","t47d_gen_r2.bam"
"ENSG00000290825.1",0,0,0,0,0,0,1,1
"ENSG00000223972.6",0,0,0,0,0,0,0,0
"ENSG00000227232.5",109,87,105,73,74,65,95,63
"ENSG00000278267.1",0,0,0,0,0,0,0,0
"ENSG00000243485.5",0,0,1,0,0,0,0,0
"ENSG00000284332.1",0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,1,0,0,0,0,0
"ENSG00000268020.3",0,0,0,0,0,0,0,0
"ENSG00000290826.1",0,0,0,0,0,0,0,0
"ENSG00000240361.3",0,0,0,0,0,0,0,0
"ENSG00000186092.7",0,0,0,0,0,0,0,0
"ENSG00000238009.6",15,17,16,13,12,20,13,12
"ENSG00000239945.1",0,0,0,0,0,0,0,0
"ENSG00000233750.3",2,0,0,5,0,2,8,2
"ENSG00000268903.1",6,13,14,4,12,9,9,11
"ENSG00000269981.1",23,30,33,28,32,25,23,26
"ENSG00000239906.1",0,1,1,3,2,1,0,4
"ENSG00000241860.7",15,13,29,14,13,8,17,12
"ENSG00000222623.1",0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0,0,0
"ENSG00000279928.2",0,3,0,0,0,0,0,1
"ENSG00000279457.4",231,198,263,225,199,177,221,198
"ENSG00000273874.1",0,0,0,0,0,0,0,0
"ENSG00000228463.10",13,14,17,11,15,13,12,16
"ENSG00000286448.1",0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0
"ENSG00000236601.2",0,0,0,0,0,0,0,1
"ENSG00000290385.1",42,47,31,39,32,27,34,40
"ENSG00000269732.1",0,0,0,0,0,0,0,0
"ENSG00000284733.2",0,0,0,0,0,0,0,0
"ENSG00000237094.13",0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0
"ENSG00000250575.1",0,0,0,0,0,0,0,0
"ENSG00000278757.1",0,0,0,0,0,0,0,0
"ENSG00000230021.10",439,266,79,276,252,276,227,300
"ENSG00000235146.2",0,0,0,0,0,0,0,0
"ENSG00000225972.1",0,0,0,0,0,0,0,0
"ENSG00000225630.1",0,0,0,0,0,0,0,0
"ENSG00000237973.1",0,0,0,0,0,0,0,0
"ENSG00000278791.1",0,0,0,0,0,0,0,0
"ENSG00000229344.1",0,0,0,0,0,0,0,0
"ENSG00000240409.1",0,0,0,0,0,0,0,0
"ENSG00000248527.1",0,0,0,0,0,0,0,0
"ENSG00000198744.5",0,0,0,0,0,0,0,0
"ENSG00000268663.1",0,0,0,0,0,0,0,0
"ENSG00000284662.2",0,0,0,0,0,0,0,0
"ENSG00000229376.3",0,0,0,0,0,0,0,0
"ENSG00000291215.1",0,0,0,0,0,0,0,0
"ENSG00000223181.1",0,0,0,0,0,0,0,0
"ENSG00000229905.1",0,0,0,0,0,0,0,0
"ENSG00000228327.6",0,0,0,0,0,0,0,0
"ENSG00000237491.10",0,0,0,0,0,0,0,0
"ENSG00000285268.1",0,0,0,0,0,0,0,0
"ENSG00000290784.1",0,0,0,0,0,0,0,0
"ENSG00000230092.8",0,0,0,0,0,0,0,0
"ENSG00000177757.2",0,0,0,0,0,0,0,0
"ENSG00000225880.6",0,0,0,0,0,0,0,0
"ENSG00000228794.12",367,283,384,316,364,276,363,334
"ENSG00000288531.1",4,0,5,2,1,0,0,1
"ENSG00000230368.2",0,2,1,4,4,2,2,1
"ENSG00000234711.1",0,0,0,0,0,0,0,0
"ENSG00000283040.1",0,0,0,0,0,0,0,0
"ENSG00000272438.1",132,124,194,229,113,146,180,180
"ENSG00000230699.2",0,0,0,0,0,0,0,0
"ENSG00000241180.1",0,0,0,0,0,0,0,0
"ENSG00000223764.2",1479,1190,1524,1212,1088,1148,1293,1294
"ENSG00000187634.13",548,572,772,536,438,575,542,601
"ENSG00000188976.11",1855,1428,2698,1733,1485,1496,1832,1725
"ENSG00000187961.15",399,257,447,292,291,273,307,307
"ENSG00000187583.11",563,450,500,375,457,475,412,472
"ENSG00000187642.10",26,22,35,21,22,30,18,27
"ENSG00000272512.1",24,23,39,42,25,33,26,54
"ENSG00000188290.11",166,141,320,158,95,162,139,146
"ENSG00000187608.10",98,85,160,100,105,128,133,112
"ENSG00000231702.2",0,0,0,0,0,0,0,0
"ENSG00000224969.1",0,0,0,0,0,0,0,0
"ENSG00000188157.15",18082,16737,26512,12772,15915,17228,16204,17866
"ENSG00000242590.1",0,0,0,0,0,0,0,0
"ENSG00000291156.1",16,15,15,11,15,16,15,14
"ENSG00000273443.1",0,0,0,0,0,0,0,0
"ENSG00000217801.13",145,112,161,138,95,91,123,114
"ENSG00000237330.3",232,174,722,418,169,221,376,324
"ENSG00000131591.18",1116,930,1739,1126,1007,1056,1205,1196
"ENSG00000285812.1",0,0,0,0,0,0,0,0
"ENSG00000223823.1",8,3,5,11,4,1,11,3
"ENSG00000207730.3",8,8,12,6,7,15,11,3
"ENSG00000207607.3",8,7,11,8,11,5,10,7
"ENSG00000198976.1",29,18,30,14,15,25,33,19
"ENSG00000272141.1",125,89,118,88,94,99,128,92
"ENSG00000205231.1",6,7,11,2,5,3,5,6
"ENSG00000162571.14",100,72,90,69,90,91,73,78
"ENSG00000186891.14",9,4,9,11,2,2,14,3
"ENSG00000186827.12",3,0,0,2,2,0,2,3
"ENSG00000078808.20",2854,2054,4014,2223,2139,2053,2331,1950
"ENSG00000176022.7",503,439,766,525,430,445,465,457
"ENSG00000184163.3",55,41,129,54,66,49,66,56
"ENSG00000260179.1",4,12,24,9,9,11,9,12
"ENSG00000160087.21",1272,985,1482,1076,1151,974,1103,999
"ENSG00000230415.1",39,39,63,44,35,45,41,50
"ENSG00000162572.21",324,295,469,281,272,274,324,322
"ENSG00000131584.19",3515,2577,4549,2660,2687,2564,3017,2784
"ENSG00000278073.1",0,0,0,0,0,0,0,0
"ENSG00000169972.13",296,210,403,235,265,221,240,227
"ENSG00000127054.22",2731,2018,3351,2159,2175,2058,2504,2172
"ENSG00000283712.1",0,0,0,0,0,0,0,0
"ENSG00000240731.1",0,0,0,0,0,0,0,0
"ENSG00000224051.7",780,470,757,432,587,447,585,489
"ENSG00000169962.5",81,65,120,68,67,80,96,71
"ENSG00000107404.21",1117,951,1658,1084,870,994,1083,1057
"ENSG00000284372.1",0,0,0,0,0,0,0,0
"ENSG00000162576.17",2334,1763,2590,1776,1706,1645,1842,1774
"ENSG00000175756.14",443,295,921,409,342,307,350,290
"ENSG00000223663.2",4,1,4,2,6,3,1,4
